Year,attempts_median,attempts_mean,rate_mean,rate_median,percent_mean,percent_median,made_mean,made_median,points3_made_mean,points3_made_median,points2_made_median,points2_made_mean,fieldgoal_made_median,fieldgoal_made_mean,fieldgoal_attempt_median,fieldgoal_attempt_mean
2018,31.97,31.97,35.91,34.8,35.43,35.1,11.32,11.3,30.61,29.8,53.9,53.37,41.2,40.88,88.8,89.07
2017,29.1,28.96,33.7,33.7,36.07,36.07,10.45,10.45,29.55,29.7,54.8,54.8,39.4,39.51,85.9,85.99
2016,26.1,27.03,31.68,31.0,35.66,35.6,9.65,9.4,27.39,26.9,56.5,55.7,39.1,38.98,85.34,85.34
2015,23.9,24.06,28.45,28.45,35.21,35.0,8.49,8.49,24.84,24.84,57.89,57.89,38.2,38.08,84.4,84.48
2014,22.6,22.46,26.83,27.2,34.79,34.7,7.83,7.83,23.45,23.5,59.5,59.34,37.42,37.42,83.2,83.62
2013,21.57,21.57,26.01,25.9,35.81,35.81,7.73,7.73,22.96,22.96,59.32,59.32,37.8,37.6,82.7,82.9
2012,19.9,19.96,24.38,23.6,35.6,35.6,7.13,7.0,21.79,21.5,61.5,61.11,37.0,36.99,81.6,81.92
2011,19.3,18.37,22.59,22.8,34.52,34.52,6.37,6.5,19.88,19.88,62.6,62.48,36.4,36.3,81.3,81.3
2010,18.0,18.01,22.21,21.9,35.53,35.5,6.44,6.2,19.38,19.2,61.9,61.83,37.06,37.06,80.9,81.08
2009,17.4,18.14,22.26,22.1,35.19,35.1,6.42,6.2,,,,,37.6,37.53,81.7,81.53
2008,18.5,18.11,22.44,22.6,36.44,36.44,6.62,6.7,,,,,36.6,36.96,80.6,80.71
2007,17.7,18.04,22.16,22.1,35.9,35.8,6.51,6.51,,,,,36.9,37.08,81.2,81.34
2006,16.9,16.92,21.24,21.2,35.6,35.5,6.05,5.9,,,,,36.2,36.34,79.3,79.48
2005,16.4,15.97,20.2,21.2,35.58,35.4,5.7,5.8,,,,,35.9,35.76,78.86,78.86
2004,15.75,15.75,19.6,19.6,35.27,35.27,5.59,5.59,,,,,35.91,35.91,80.5,80.29
